Orden;Familia;Genero;Nombre_Cientifico;Count;Municipio;Departamento;Latitud;Longitud;Date;Clasificación
Passeriformes;Parulidae;Geothlypis;Geothlypis philadelphia;1;Manizales;Caldas;5.068;-75.505;02 Feb 2019;Mb
Piciformes;Picidae;Melanerpes;Melanerpes rubricapillus;1;Manizales;Caldas;5.068;-75.505;09 Jan 2019;R
Passeriformes;Furnariidae;Cranioleuca;Cranioleuca erythrops;1;Manizales;Caldas;5.068;-75.505;09 Jan 2019;R
Passeriformes;Parulidae;Leiothlypis;Leiothlypis peregrina;1;Manizales;Caldas;5.068;-75.505;07 Jan 2019;Mb
Galliformes;Cracidae;Chamaepetes;Chamaepetes goudotii;2;Manizales;Caldas;5.068;-75.505;05 Jan 2019;R
Passeriformes;Furnariidae;Anabacerthia;Anabacerthia striaticollis;1;Manizales;Caldas;5.068;-75.505;26 Dec 2018;R
APODIFORMES;TROCHILIDAE;Amazilia;Amazilia franciae;2;Manizales;Caldas;5.068;-75.505;12 Dec 2018;R
Passeriformes;Turdidae;Catharus;Catharus aurantiirostris;1;Manizales;Caldas;5.068;-75.505;11 Dec 2018;R
Passeriformes;Tyrannidae;Contopus;Contopus sordidulus;2;Manizales;Caldas;5.068;-75.505;09 Dec 2018;Mb
Passeriformes;Tyrannidae;Contopus;Contopus cinereus;1;Manizales;Caldas;5.068;-75.505;30 Nov 2018;R
Passeriformes;Parulidae;Cardellina; Cardellina canadensis;1;Manizales;Caldas;5.068;-75.505;26 Nov 2018;Mb
Passeriformes;Tyrannidae;Contopus;Contopus cooperi;1;Manizales;Caldas;5.068;-75.505;04 Nov 2018;Mb
Passeriformes;Tyrannidae;Myiarchus;Myiarchus cephalotes;1;Manizales;Caldas;5.068;-75.505;03 Nov 2018;R
Passeriformes;Tyrannidae;Myiarchus;Myiarchus crinitus;1;Manizales;Caldas;5.068;-75.505;03 Nov 2018;Mb
Passeriformes;Thraupidae;Pipraeidea;Pipraeidea melanonota;1;Manizales;Caldas;5.068;-75.505;30 Oct 2018;R
Cuculiformes;Cuculidae;Crotophaga;Crotophaga ani;2;Manizales;Caldas;5.068;-75.505;29 Oct 2018;R
Passeriformes;Parulidae;Setophaga;Setophaga cerulea;1;Manizales;Caldas;5.068;-75.505;01 Oct 2018;Mb
Passeriformes;Tyrannidae;Tyrannus;Tyrannus tyrannus;2;Manizales;Caldas;5.068;-75.505;27 Sep 2018;Mb
Passeriformes;Parulidae;Setophaga;Setophaga petechia;1;Manizales;Caldas;5.068;-75.505;26 Sep 2018;Mb
Passeriformes;Vireonidae;Vireo;Vireo flavoviridis;1;Manizales;Caldas;5.068;-75.505;25 Sep 2018;Mb
Passeriformes;Thraupidae;Sporophila;Sporophila luctuosa;1;Manizales;Caldas;5.068;-75.505;22 Sep 2018;R
Falconiformes;Falconidae;Milvago;Milvago chimachima;1;Manizales;Caldas;5.068;-75.505;30 Aug 2018;R
Apodiformes;Trochilidae;Colibri;Colibri cyanotus;1;Manizales;Caldas;5.068;-75.505;27 Jul 2018;R
Passeriformes;Furnariidae;Dendrocincla;Dendrocincla fuliginosa;1;Manizales;Caldas;5.068;-75.505;27 Jul 2018;R
Passeriformes;Passerellidae;Arremon;Arremon brunneinucha;1;Manizales;Caldas;5.068;-75.505;09 Jun 2018;R
Passeriformes;Tityridae;Pachyramphus;Pachyramphus polychopterus;2;Manizales;Caldas;5.068;-75.505;27 May 2018;R
